Player,Nation,Position,Current age,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards
Raphinha,br BRA,"FW,MF",28-144,14,14,"1,222",13.6,13,8,21,13,0,0,0,0
Pedri,es ESP,MF,22-163,14,13,"1,109",12.3,0,2,2,0,0,0,0,0
Jules Kounde,fr FRA,DF,26-176,13,13,"1,104",12.3,0,3,3,0,0,0,1,0
Lamine Yamal,es ESP,FW,17-298,13,13,"1,094",12.2,5,3,8,5,0,0,0,0
Pau Cubarsi,es ESP,DF,18-105,13,12,977,10.9,0,1,1,0,0,0,2,1
Robert Lewandowski,pl POL,FW,36-259,13,12,975,10.8,11,0,11,8,3,3,0,0
Inigo Martinez,es ESP,DF,33-355,11,11,954,10.6,2,1,3,2,0,0,3,0
Alejandro Balde,es ESP,DF,21-201,10,9,803,8.9,0,2,2,0,0,0,1,0
Frenkie de Jong,nl NED,MF,27-360,13,8,804,8.9,0,0,0,0,0,0,2,0
Wojciech Szczesny,pl POL,GK,35-019,8,8,750,8.3,0,0,0,0,0,0,0,0
Marc Casado,es ESP,MF,21-235,10,7,633,7,0,2,2,0,0,0,1,0
Dani Olmo,es ESP,MF,27-000,9,6,435,4.8,2,1,3,2,0,0,0,0
Inaki Pena,es ESP,GK,26-066,5,5,450,5,0,0,0,0,0,0,0,0
Gerard Martin,es ESP,DF,23-126,8,5,446,5,0,3,3,0,0,0,0,0
Ronald Araujo,uy URU,DF,26-061,8,4,523,5.8,1,0,1,1,0,0,0,0
Fermin Lopez,es ESP,"MF,FW",21-361,11,4,453,5,1,3,4,1,0,0,1,0
Ferran Torres,es ESP,FW,25-067,11,3,426,4.7,3,1,4,3,0,0,1,0
Gavi,es ESP,MF,20-275,10,3,301,3.3,0,0,0,0,0,0,1,0
Eric Garcia,es ESP,"DF,MF",24-118,9,3,276,3.1,2,0,2,2,0,0,0,1
Marc-Andre ter Stegen,de GER,GK,33-007,1,1,90,1,0,0,0,0,0,0,0,0
Pau Victor Delgado,es ESP,"FW,MF",23-162,6,0,53,0.6,0,0,0,0,0,0,1,0
Héctor Fort,es ESP,DF,18-278,2,0,50,0.6,0,0,0,0,0,0,0,0
Ansu Fati,es ESP,"FW,MF",22-188,4,0,41,0.5,0,0,0,0,0,0,0,0
Sergi Dominguez,es ESP,"DF,FW",20-036,2,0,35,0.4,0,0,0,0,0,0,0,0
Pablo Torre,es ESP,"FW,MF",22-034,2,0,21,0.2,0,0,0,0,0,0,0,0
Andreas Christensen,dk DEN,DF,29-027,1,0,8,0.1,0,0,0,0,0,0,0,0
Andres Cuenca,es ESP,DF,17-330,1,0,7,0.1,0,0,0,0,0,0,0,0
Ander Astralaga,es ESP,GK,21-065,0,0,,,,,,,,,,
Noah Darvich,de GER,MF,18-224,0,0,,,,,,,,,,
Landry Farran,es ESP,DF,18-126,0,0,,,,,,,,,,
Guillermo Fernandez,es ESP,MF,16-323,0,0,,,,,,,,,,
Toni Fernandes,es ESP,MF,16-326,0,0,,,,,,,,,,
Diego Kochen,us USA,GK,19-049,0,0,,,,,,,,,,
Áron Yaakobishvili,hu HUN,GK,19-062,0,0,,,,,,,,,,
